date,region,product,category,units_sold,revenue,cost,marketing_spend
2026-01-01,North,Classic Bifold Wallet,Men Wallet,120,3600,1800,500
2026-01-02,South,Zip Around Wallet,Women Wallet,80,3200,1600,450
2026-01-03,East,Slim Card Holder,Card Holder,150,2250,900,300
2026-01-04,West,Leather Coin Case,Coin Case,60,900,420,200
2026-01-05,North,RFID Passport Holder,Passport Holder,95,2850,1250,380
2026-01-06,South,Classic Key Holder,Key Holder,110,1650,700,250
2026-01-07,East,Classic Bifold Wallet,Men Wallet,135,4050,1980,520
2026-01-08,West,Zip Around Wallet,Women Wallet,90,3600,1750,460
2026-01-09,North,Slim Card Holder,Card Holder,170,2550,1020,330
2026-01-10,South,Leather Coin Case,Coin Case,72,1080,500,220
2026-01-11,East,RFID Passport Holder,Passport Holder,100,3000,1320,390
2026-01-12,West,Classic Key Holder,Key Holder,125,1875,820,270
2026-01-13,North,Classic Bifold Wallet,Men Wallet,142,4260,2100,540
2026-01-14,South,Zip Around Wallet,Women Wallet,76,3040,1580,430
2026-01-15,East,Slim Card Holder,Card Holder,160,2400,980,310
2026-01-16,West,Leather Coin Case,Coin Case,68,1020,470,210
2026-01-17,North,RFID Passport Holder,Passport Holder,108,3240,1400,410
2026-01-18,South,Classic Key Holder,Key Holder,118,1770,760,260
2026-01-19,East,Classic Bifold Wallet,Men Wallet,150,4500,2250,560
2026-01-20,West,Zip Around Wallet,Women Wallet,88,3520,1700,455
2026-01-21,North,Slim Card Holder,Card Holder,180,2700,1100,340
2026-01-22,South,Leather Coin Case,Coin Case,75,1125,530,230
2026-01-23,East,RFID Passport Holder,Passport Holder,115,3450,1500,420
2026-01-24,West,Classic Key Holder,Key Holder,130,1950,850,280
